
Vgs               IS("/T0/D") (A)

W = 160n              
Vds               0                 500m              1                 1.5               2                 
    1.84            -57.4973n           4.99449           6.27896           6.63662           6.8254        
    1.88            -64.9675n           5.08138           6.45166           6.82323           7.01828       
    1.92            -73.3371n           5.16448           6.6226            7.00856           7.21007       
    1.96            -82.708n            5.24391           6.79171           7.19258           7.40073       
    2               -93.1929n           5.31982           6.95891           7.37525           7.59025       

Vgs               IS("/T0/D") (A)
W = 1.653             
Vds = 0                 
0                    35.5157a       

Vgs               IS("/T0/D") (A)
W = 1.653             
Vds = 500m              
    0               168.657u        
   40m              680.732u        
   80m                2.60427m      
  120m                9.32944m      
  160m               31.1183m       
  200m               96.9499m       
  240m              284.956m        
  280m              798.937m        
  320m                2.14546       
  360m                5.43427       
  400m               12.4405        
  440m               24.6772        
  480m               42.3027        
  520m               64.4473        
  560m               90.0763        
  600m              118.363         
  640m              148.708         
  680m              180.673         
  720m              213.924         
  760m              248.198         
  800m              283.278         
  840m              318.983         
  880m              355.155         
  920m              391.657         
  960m              428.364         
    1               465.163         
    1.04            501.945         
    1.08            538.606         
    1.12            575.042         
    1.16            611.148         
    1.2             646.812         
    1.24            681.916         
    1.28            716.337         
    1.32            749.946         
    1.36            782.621         
    1.4             814.249         
    1.44            844.746         
    1.48            874.059         
    1.52            902.171         
    1.56            929.096         
    1.6             954.867         
    1.64            979.528         
    1.68              1.00313K      
    1.72              1.02571K      
    1.76              1.04732K      
    1.8               1.068K        
    1.84              1.08778K      
    1.88              1.10671K      
    1.92              1.1248K       
    1.96              1.1421K       
    2                 1.15864K      

Vgs               IS("/T0/D") (A)
W = 1.653             
Vds = 1                 
    0               281.728u        
   40m                1.13112m      
   80m                4.29829m      
  120m               15.2778m       
  160m               50.5403m       
  200m              156.16m         
  240m              454.724m        
  280m                1.25723       
  320m                3.29088       
  360m                7.97679       
  400m               17.2252        
  440m               32.2694        
  480m               52.8771        
  520m               77.9938        
  560m              106.561         
  600m              137.781         
  640m              171.088         
  680m              206.072         
  720m              242.421         
  760m              279.891         
  800m              318.282         
  840m              357.431         
  880m              397.196         
  920m              437.459         
  960m              478.118         
    1               519.085         
    1.04            560.283         
    1.08            601.645         
    1.12            643.111         
    1.16            684.632         
    1.2             726.159         
    1.24            767.653         
    1.28            809.077         
    1.32            850.398         
    1.36            891.587         
    1.4             932.616         
    1.44            973.461         
    1.48              1.0141K       
    1.52              1.05451K      
    1.56              1.09468K      
    1.6               1.13458K      
    1.64              1.1742K       
    1.68              1.21352K      
    1.72              1.25253K      
    1.76              1.29122K      
    1.8               1.32956K      
    1.84              1.36754K      
    1.88              1.40515K      
    1.92              1.44238K      
    1.96              1.47921K      
    2                 1.51563K      

Vgs               IS("/T0/D") (A)
W = 1.653             
Vds = 1.5               
    0               425.35u         
   40m                1.69794m      
   80m                6.40767m      
  120m               22.5961m       
  160m               74.1447m       
  200m              227.285m        
  240m              656.218m        
  280m                1.79251       
  320m                4.59309       
  360m               10.7415        
  400m               22.1297        
  440m               39.5822        
  480m               62.487         
  520m               89.6718        
  560m              120.107         
  600m              153.053         
  640m              187.993         
  680m              224.554         
  720m              262.452         
  760m              301.459         
  800m              341.39          
  840m              382.089         
  880m              423.424         
  920m              465.282         
  960m              507.566         
    1               550.191         
    1.04            593.083         
    1.08            636.178         
    1.12            679.42          
    1.16            722.759         
    1.2             766.151         
    1.24            809.557         
    1.28            852.944         
    1.32            896.279         
    1.36            939.536         
    1.4             982.689         
    1.44              1.02572K      
    1.48              1.0686K       
    1.52              1.11132K      
    1.56              1.15385K      
    1.6               1.19619K      
    1.64              1.23833K      
    1.68              1.28024K      
    1.72              1.32191K      
    1.76              1.36334K      
    1.8               1.40452K      
    1.84              1.44544K      
    1.88              1.48608K      
    1.92              1.52645K      
    1.96              1.56652K      
    2                 1.60631K      

Vgs               IS("/T0/D") (A)
W = 1.653             
Vds = 2                 
    0               660.309u        
   40m                2.44045m      
   80m                9.03048m      
  120m               31.5227m       
  160m              102.564m        
  200m              311.96m         
  240m              893.374m        
  280m                2.41288       
  320m                6.06397       
  360m               13.7409        
  400m               27.1934        
  440m               46.7757        
  480m               71.5427        
  520m              100.262         
  560m              131.965         
  600m              165.986         
  640m              201.866         
  680m              239.274         
  720m              277.954         
  760m              317.702         
  800m              358.345         
  840m              399.741         
  880m              441.767         
  920m              484.315         
  960m              527.293         
    1               570.623         
    1.04            614.233         
    1.08            658.063         
    1.12            702.059         
    1.16            746.173         
    1.2             790.363         
    1.24            834.592         
    1.28            878.827         
    1.32            923.038         
    1.36            967.2           
    1.4               1.01129K      
    1.44              1.05528K      
    1.48              1.09916K      
    1.52              1.14291K      
    1.56              1.18651K      
    1.6               1.22995K      
    1.64              1.27321K      
    1.68              1.31629K      
    1.72              1.35918K      
    1.76              1.40185K      
    1.8               1.44432K      
    1.84              1.48655K      
    1.88              1.52856K      
    1.92              1.57033K      
    1.96              1.61186K      
    2                 1.65314K      


Vgs               IS("/T0/D") (A)
W = 360               
Vds = 0                 
0                     7.73509f      

Vgs               IS("/T0/D") (A)
W = 360               
Vds = 500m              
0                    36.7324m       
40m                 148.259m        
80m                 567.194m        
120m                  2.0319        
160m                  6.77738       
200m                 21.1151        
240m                 62.0618        
280m                174.004         
320m                467.268         
360m                  1.18355K      
400m                  2.70946K      
440m                  5.37454K      
480m                  9.21328K      
520m                 14.0362K       
560m                 19.6181K       
600m                 25.7788K       
640m                 32.3877K       
680m                 39.3494K       
720m                 46.5913K       
760m                 54.0559K       
800m                 61.6962K       
840m                 69.4725K       
880m                 77.3507K       
920m                 85.3006K       
960m                 93.2952K       
1                   101.31K         

Vgs               IS("/T0/D") (A)
W = 360               
Vds = 1                 
0                    61.3588m       
40m                 246.351m        
80m                 936.142m        
120m                  3.3274        
160m                 11.0074        
200m                 34.0108        
240m                 99.0363        
280m                273.816         
320m                716.733         
360m                  1.7373K       
400m                  3.75154K      
440m                  7.02807K      
480m                 11.5163K       
520m                 16.9866K       
560m                 23.2084K       
600m                 30.008K        
640m                 37.262K        
680m                 44.8811K       
720m                 52.7977K       
760m                 60.9585K       

Vgs               IS("/T0/D") (A)
W = 360               
Vds = 1.5               
0                    92.6387m       
40m                 369.801m        
80m                   1.39555       
120m                  4.92129       
160m                 16.1483        
200m                 49.5013        
240m                142.92          
280m                390.397         
320m                  1.00035K      
360m                  2.33943K      
400m                  4.81972K      
440m                  8.62076K      
480m                 13.6093K       
520m                 19.53K         
560m                 26.1585K       
600m                 33.3339K       
640m                 40.9437K       
680m                 48.9066K       
720m                 57.1604K       
760m                 65.656K        
800m                 74.3527K       
840m                 83.2167K       

Vgs               IS("/T0/D") (A)
W = 360               
Vds = 2                 
0                   143.811m        
40m                 531.515m        
80m                   1.96678       
120m                  6.86544       
160m                 22.3378        
200m                 67.9431        
240m                194.572         
280m                525.511         
320m                  1.3207K       
360m                  2.99269K      
400m                  5.92256K      
440m                 10.1875K       
480m                 15.5816K       
520m                 21.8365K       
560m                 28.7412K       
600m                 36.1507K       
640m                 43.9652K       
680m                 52.1124K       
720m                 60.5368K       
760m                 69.1935K       
800m                 78.0454K       
840m                 87.0612K       
880m                 96.2141K       


